id,activityhour,steptotal,hour_steps,day_of_week_steps,calories,hour_calories,day_of_week_calories
1503960366,2016-04-12 00:00:00,373,0,Tuesday,81,0,Tuesday
1503960366,2016-04-12 01:00:00,160,1,Tuesday,61,1,Tuesday
1503960366,2016-04-12 02:00:00,151,2,Tuesday,59,2,Tuesday
1503960366,2016-04-12 03:00:00,0,3,Tuesday,47,3,Tuesday
1503960366,2016-04-12 04:00:00,0,4,Tuesday,48,4,Tuesday
1503960366,2016-04-12 05:00:00,0,5,Tuesday,48,5,Tuesday
1503960366,2016-04-12 06:00:00,0,6,Tuesday,48,6,Tuesday
1503960366,2016-04-12 07:00:00,0,7,Tuesday,47,7,Tuesday
1503960366,2016-04-12 08:00:00,250,8,Tuesday,68,8,Tuesday
1503960366,2016-04-12 09:00:00,1864,9,Tuesday,141,9,Tuesday
1503960366,2016-04-12 10:00:00,676,10,Tuesday,99,10,Tuesday
1503960366,2016-04-12 11:00:00,360,11,Tuesday,76,11,Tuesday
1503960366,2016-04-12 12:00:00,253,12,Tuesday,73,12,Tuesday
1503960366,2016-04-12 13:00:00,221,13,Tuesday,66,13,Tuesday
1503960366,2016-04-12 14:00:00,1166,14,Tuesday,110,14,Tuesday
1503960366,2016-04-12 15:00:00,2063,15,Tuesday,151,15,Tuesday
1503960366,2016-04-12 16:00:00,344,16,Tuesday,76,16,Tuesday
1503960366,2016-04-12 17:00:00,489,17,Tuesday,83,17,Tuesday
1503960366,2016-04-12 18:00:00,1386,18,Tuesday,124,18,Tuesday
1503960366,2016-04-12 19:00:00,558,19,Tuesday,104,19,Tuesday
1503960366,2016-04-12 20:00:00,1733,20,Tuesday,132,20,Tuesday
1503960366,2016-04-12 21:00:00,684,21,Tuesday,100,21,Tuesday
1503960366,2016-04-12 22:00:00,89,22,Tuesday,65,22,Tuesday
1503960366,2016-04-12 23:00:00,338,23,Tuesday,81,23,Tuesday
1503960366,2016-04-13 00:00:00,144,0,Wednesday,69,0,Wednesday
1503960366,2016-04-13 01:00:00,0,1,Wednesday,48,1,Wednesday
1503960366,2016-04-13 02:00:00,0,2,Wednesday,47,2,Wednesday
1503960366,2016-04-13 03:00:00,36,3,Wednesday,53,3,Wednesday
1503960366,2016-04-13 04:00:00,0,4,Wednesday,47,4,Wednesday
1503960366,2016-04-13 05:00:00,0,5,Wednesday,47,5,Wednesday
1503960366,2016-04-13 06:00:00,0,6,Wednesday,48,6,Wednesday
1503960366,2016-04-13 07:00:00,126,7,Wednesday,59,7,Wednesday
1503960366,2016-04-13 08:00:00,275,8,Wednesday,69,8,Wednesday
1503960366,2016-04-13 09:00:00,1679,9,Wednesday,136,9,Wednesday
1503960366,2016-04-13 10:00:00,295,10,Wednesday,77,10,Wednesday
1503960366,2016-04-13 11:00:00,524,11,Wednesday,84,11,Wednesday
1503960366,2016-04-13 12:00:00,486,12,Wednesday,82,12,Wednesday
1503960366,2016-04-13 13:00:00,302,13,Wednesday,72,13,Wednesday
1503960366,2016-04-13 14:00:00,1577,14,Wednesday,128,14,Wednesday
1503960366,2016-04-13 15:00:00,493,15,Wednesday,79,15,Wednesday
1503960366,2016-04-13 16:00:00,299,16,Wednesday,71,16,Wednesday
1503960366,2016-04-13 17:00:00,695,17,Wednesday,87,17,Wednesday
1503960366,2016-04-13 18:00:00,1343,18,Wednesday,118,18,Wednesday
1503960366,2016-04-13 19:00:00,258,19,Wednesday,73,19,Wednesday
1503960366,2016-04-13 20:00:00,0,20,Wednesday,47,20,Wednesday
1503960366,2016-04-13 21:00:00,0,21,Wednesday,48,21,Wednesday
1503960366,2016-04-13 22:00:00,437,22,Wednesday,74,22,Wednesday
1503960366,2016-04-13 23:00:00,1766,23,Wednesday,135,23,Wednesday
1503960366,2016-04-14 00:00:00,81,0,Thursday,56,0,Thursday
1503960366,2016-04-14 01:00:00,58,1,Thursday,54,1,Thursday
1503960366,2016-04-14 02:00:00,0,2,Thursday,47,2,Thursday
1503960366,2016-04-14 03:00:00,0,3,Thursday,47,3,Thursday
1503960366,2016-04-14 04:00:00,0,4,Thursday,47,4,Thursday
1503960366,2016-04-14 05:00:00,0,5,Thursday,47,5,Thursday
1503960366,2016-04-14 06:00:00,0,6,Thursday,47,6,Thursday
1503960366,2016-04-14 07:00:00,0,7,Thursday,47,7,Thursday
1503960366,2016-04-14 08:00:00,0,8,Thursday,47,8,Thursday
1503960366,2016-04-14 09:00:00,902,9,Thursday,93,9,Thursday
1503960366,2016-04-14 10:00:00,1106,10,Thursday,109,10,Thursday
1503960366,2016-04-14 11:00:00,50,11,Thursday,64,11,Thursday
1503960366,2016-04-14 12:00:00,501,12,Thursday,85,12,Thursday
1503960366,2016-04-14 13:00:00,1779,13,Thursday,137,13,Thursday
1503960366,2016-04-14 14:00:00,1228,14,Thursday,113,14,Thursday
1503960366,2016-04-14 15:00:00,139,15,Thursday,66,15,Thursday
1503960366,2016-04-14 16:00:00,408,16,Thursday,88,16,Thursday
1503960366,2016-04-14 17:00:00,37,17,Thursday,61,17,Thursday
1503960366,2016-04-14 18:00:00,322,18,Thursday,72,18,Thursday
1503960366,2016-04-14 19:00:00,11,19,Thursday,55,19,Thursday
1503960366,2016-04-14 20:00:00,806,20,Thursday,91,20,Thursday
1503960366,2016-04-14 21:00:00,2670,21,Thursday,174,21,Thursday
1503960366,2016-04-14 22:00:00,362,22,Thursday,79,22,Thursday
1503960366,2016-04-14 23:00:00,0,23,Thursday,50,23,Thursday
1503960366,2016-04-15 00:00:00,83,0,Friday,60,0,Friday
1503960366,2016-04-15 01:00:00,75,1,Friday,58,1,Friday
1503960366,2016-04-15 02:00:00,124,2,Friday,59,2,Friday
1503960366,2016-04-15 03:00:00,0,3,Friday,47,3,Friday
1503960366,2016-04-15 04:00:00,0,4,Friday,47,4,Friday
1503960366,2016-04-15 05:00:00,26,5,Friday,49,5,Friday
1503960366,2016-04-15 06:00:00,0,6,Friday,47,6,Friday
1503960366,2016-04-15 07:00:00,7,7,Friday,49,7,Friday
1503960366,2016-04-15 08:00:00,55,8,Friday,54,8,Friday
1503960366,2016-04-15 09:00:00,21,9,Friday,50,9,Friday
