id,activityhour,steptotal,hour,day_of_week
1503960366,2016-04-12 00:00:00,373,0,Tuesday
1503960366,2016-04-12 01:00:00,160,1,Tuesday
1503960366,2016-04-12 02:00:00,151,2,Tuesday
1503960366,2016-04-12 03:00:00,0,3,Tuesday
1503960366,2016-04-12 04:00:00,0,4,Tuesday
1503960366,2016-04-12 05:00:00,0,5,Tuesday
1503960366,2016-04-12 06:00:00,0,6,Tuesday
1503960366,2016-04-12 07:00:00,0,7,Tuesday
1503960366,2016-04-12 08:00:00,250,8,Tuesday
1503960366,2016-04-12 09:00:00,1864,9,Tuesday
1503960366,2016-04-12 10:00:00,676,10,Tuesday
1503960366,2016-04-12 11:00:00,360,11,Tuesday
1503960366,2016-04-12 12:00:00,253,12,Tuesday
1503960366,2016-04-12 13:00:00,221,13,Tuesday
1503960366,2016-04-12 14:00:00,1166,14,Tuesday
1503960366,2016-04-12 15:00:00,2063,15,Tuesday
1503960366,2016-04-12 16:00:00,344,16,Tuesday
1503960366,2016-04-12 17:00:00,489,17,Tuesday
1503960366,2016-04-12 18:00:00,1386,18,Tuesday
1503960366,2016-04-12 19:00:00,558,19,Tuesday
1503960366,2016-04-12 20:00:00,1733,20,Tuesday
1503960366,2016-04-12 21:00:00,684,21,Tuesday
1503960366,2016-04-12 22:00:00,89,22,Tuesday
1503960366,2016-04-12 23:00:00,338,23,Tuesday
1503960366,2016-04-13 00:00:00,144,0,Wednesday
1503960366,2016-04-13 01:00:00,0,1,Wednesday
1503960366,2016-04-13 02:00:00,0,2,Wednesday
1503960366,2016-04-13 03:00:00,36,3,Wednesday
1503960366,2016-04-13 04:00:00,0,4,Wednesday
1503960366,2016-04-13 05:00:00,0,5,Wednesday
1503960366,2016-04-13 06:00:00,0,6,Wednesday
1503960366,2016-04-13 07:00:00,126,7,Wednesday
1503960366,2016-04-13 08:00:00,275,8,Wednesday
1503960366,2016-04-13 09:00:00,1679,9,Wednesday
1503960366,2016-04-13 10:00:00,295,10,Wednesday
1503960366,2016-04-13 11:00:00,524,11,Wednesday
1503960366,2016-04-13 12:00:00,486,12,Wednesday
1503960366,2016-04-13 13:00:00,302,13,Wednesday
1503960366,2016-04-13 14:00:00,1577,14,Wednesday
1503960366,2016-04-13 15:00:00,493,15,Wednesday
1503960366,2016-04-13 16:00:00,299,16,Wednesday
1503960366,2016-04-13 17:00:00,695,17,Wednesday
1503960366,2016-04-13 18:00:00,1343,18,Wednesday
1503960366,2016-04-13 19:00:00,258,19,Wednesday
